"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SITUACAO_CASSACAO";"DS_SITUACAO_CASSACAO";"CD_SITUACAO_DCONST_DIPLOMA";"DS_SITUACAO_DCONST_DIPLOMA";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"NM_TIPO_DESTINACAO_VOTOS";"QT_VOTOS_NOMINAIS_VALIDOS";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";15911;"FORQUILHA";121;7;"Deputado Estadual";60001613538;55555;"GABRIELLA PEQUENO COSTA GOMES DE AGUIAR";"GABRIELLA AGUIAR";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";60001681675;"PARTIDO ISOLADO";"PSD";"N";12;"Válido";12;2;"ELEITO POR QP"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";15237;"PORTEIRAS";70;7;"Deputado Estadual";60001613538;55555;"GABRIELLA PEQUENO COSTA GOMES DE AGUIAR";"GABRIELLA AGUIAR";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";60001681675;"PARTIDO ISOLADO";"PSD";"N";5;"Válido";5;2;"ELEITO POR QP"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";61220;"ALUMÍNIO";131;7;"Deputado Estadual";250001602162;44044;"SOLANGE CRISTINA DE FREITAS";"SOLANGE FREITAS";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";250001681143;"PARTIDO ISOLADO";"UNIÃO";"N";4;"Válido";4;2;"ELEITO POR QP"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";62910;"CAMPINAS";423;7;"Deputado Estadual";250001602177;44777;"AUGUSTO ZACARIAS CORREA LEITE";"GUTO ZACARIAS";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";250001681143;"PARTIDO ISOLADO";"UNIÃO";"N";536;"Válido";536;2;"ELEITO POR QP"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";15679;"TAUÁ";19;7;"Deputado Estadual";60001613535;55234;"LUCÍLVIO GIRÃO SALES";"DR. LUCÍLVIO GIRÃO";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";60001681675;"PARTIDO ISOLADO";"PSD";"N";9;"Válido";9;2;"ELEITO POR QP"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";13307;"OCARA";67;7;"Deputado Estadual";60001613535;55234;"LUCÍLVIO GIRÃO SALES";"DR. LUCÍLVIO GIRÃO";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";60001681675;"PARTIDO ISOLADO";"PSD";"N";150;"Válido";150;2;"ELEITO POR QP"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";63290;"CERQUEIRA CÉSAR";205;7;"Deputado Estadual";250001602098;44111;"DANIEL BEZERRA RIBEIRO SOARES";"DANIEL SOARES";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";250001681143;"PARTIDO ISOLADO";"UNIÃO";"N";230;"Válido";230;2;"ELEITO POR QP"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";61077;"ÁGUAS DA PRATA";122;7;"Deputado Estadual";250001602151;44118;"EDMIR JOSE ABI CHEDID";"EDMIR CHEDID";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";250001681143;"PARTIDO ISOLADO";"UNIÃO";"N";1;"Válido";1;2;"ELEITO POR QP"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";61336;"AMÉRICO BRASILIENSE";239;7;"Deputado Estadual";250001602142;44250;"MILTON LEITE DA SILVA FILHO";"MILTON LEITE FILHO";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";250001681143;"PARTIDO ISOLADO";"UNIÃO";"N";0;"Válido";0;2;"ELEITO POR QP"
"07/03/2026";"03:30:52";2022;2;"Eleição Ordinária";1;546;"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";62910;"CAMPINAS";275;7;"Deputado Estadual";250001602098;44111;"DANIEL BEZERRA RIBEIRO SOARES";"DANIEL SOARES";"#NULO";12;"APTO";2;"DEFERIDO";-3;"#NE";-3;"#NE";-3;"#NE";"PARTIDO ISOLADO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";250001681143;"PARTIDO ISOLADO";"UNIÃO";"N";214;"Válido";214;2;"ELEITO POR QP"
