"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGA"
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";544;"Eleição Geral Federal 2022";"02/10/2022";"01/01/2023";"BR";"BR";"BRASIL";1;"Presidente";1
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/01/2023";"AL";"AL";"ALAGOAS";3;"Governador";1
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AL";"AL";"ALAGOAS";5;"Senador";1
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AL";"AL";"ALAGOAS";6;"Deputado Federal";9
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/01/2023";"AL";"AL";"ALAGOAS";7;"Deputado Estadual";27
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/01/2023";"AP";"AP";"AMAPÁ";3;"Governador";1
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AP";"AP";"AMAPÁ";5;"Senador";1
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AP";"AP";"AMAPÁ";6;"Deputado Federal";8
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AP";"AP";"AMAPÁ";7;"Deputado Estadual";24
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/01/2023";"AM";"AM";"AMAZONAS";3;"Governador";1
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AM";"AM";"AMAZONAS";5;"Senador";1
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AM";"AM";"AMAZONAS";6;"Deputado Federal";8
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"AM";"AM";"AMAZONAS";7;"Deputado Estadual";24
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/01/2023";"BA";"BA";"BAHIA";3;"Governador";1
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"BA";"BA";"BAHIA";5;"Senador";1
"07/03/2026";"03:30:36";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"BA";"BA";"BAHIA";6;"Deputado Federal";39
